,曲名,アーティスト名,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Butter,BTS,220821,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,audio_features,2bgTY4UwhfBYhGT4HUYStN,spotify:track:2bgTY4UwhfBYhGT4HUYStN,https://api.spotify.com/v1/tracks/2bgTY4UwhfBYhGT4HUYStN,https://api.spotify.com/v1/audio-analysis/2bgTY4UwhfBYhGT4HUYStN,164442,4
1,Permission to Dance,BTS,216084,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u,0.702,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925,audio_features,5eXBXreN3d1zdj6Sa8dS0u,spotify:track:5eXBXreN3d1zdj6Sa8dS0u,https://api.spotify.com/v1/tracks/5eXBXreN3d1zdj6Sa8dS0u,https://api.spotify.com/v1/audio-analysis/5eXBXreN3d1zdj6Sa8dS0u,187585,4
2,ドライフラワー,優里,206058,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J,0.463,0.624,7,-5.118,1,0.0274,0.426,0.0,0.221,0.521,147.929,audio_features,7dH0dpi751EoguDDg3xx6J,spotify:track:7dH0dpi751EoguDDg3xx6J,https://api.spotify.com/v1/tracks/7dH0dpi751EoguDDg3xx6J,https://api.spotify.com/v1/audio-analysis/7dH0dpi751EoguDDg3xx6J,285587,4
3,水平線,back number,199046,https://open.spotify.com/track/5m1i6hq7dmRlp3c1utE48L,0.419,0.75,10,-3.546,1,0.0316,0.011,0.0,0.159,0.436,145.867,audio_features,5m1i6hq7dmRlp3c1utE48L,spotify:track:5m1i6hq7dmRlp3c1utE48L,https://api.spotify.com/v1/tracks/5m1i6hq7dmRlp3c1utE48L,https://api.spotify.com/v1/audio-analysis/5m1i6hq7dmRlp3c1utE48L,285396,4
4,Cry Baby,Official HIGE DANdism,197666,https://open.spotify.com/track/6wDntdm888mDo458RaYjGl,0.346,0.901,1,-4.617,1,0.12,0.0103,0.0,0.358,0.434,199.934,audio_features,6wDntdm888mDo458RaYjGl,spotify:track:6wDntdm888mDo458RaYjGl,https://api.spotify.com/v1/tracks/6wDntdm888mDo458RaYjGl,https://api.spotify.com/v1/audio-analysis/6wDntdm888mDo458RaYjGl,241680,4
5,きらり,Fujii Kaze,192018,https://open.spotify.com/track/3ciqhcLmXP4hVGBD98QlEj,0.746,0.764,2,-6.833,1,0.0462,0.00803,0.0,0.357,0.701,116.982,audio_features,3ciqhcLmXP4hVGBD98QlEj,spotify:track:3ciqhcLmXP4hVGBD98QlEj,https://api.spotify.com/v1/tracks/3ciqhcLmXP4hVGBD98QlEj,https://api.spotify.com/v1/audio-analysis/3ciqhcLmXP4hVGBD98QlEj,231883,4
6,Dynamite,BTS,189221,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,4saklk6nie3yiGePpBwUoc,spotify:track:4saklk6nie3yiGePpBwUoc,https://api.spotify.com/v1/tracks/4saklk6nie3yiGePpBwUoc,https://api.spotify.com/v1/audio-analysis/4saklk6nie3yiGePpBwUoc,199054,4
7,STAY (with Justin Bieber),The Kid LAROI,181679,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5PjdY0CKGZdEuoNab3yDmX,spotify:track:5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/tracks/5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/audio-analysis/5PjdY0CKGZdEuoNab3yDmX,141806,4
8,夜に駆ける,YOASOBI,170951,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,audio_features,6MCjmGYlw6mQVWRFVgBRvB,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,https://api.spotify.com/v1/tracks/6MCjmGYlw6mQVWRFVgBRvB,https://api.spotify.com/v1/audio-analysis/6MCjmGYlw6mQVWRFVgBRvB,258840,4
9,怪物,YOASOBI,159700,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,0.627,0.824,1,-3.419,1,0.118,0.0699,6.57e-05,0.31,0.774,169.935,audio_features,06XQvnJb53SUYmlWIhUXUi,spotify:track:06XQvnJb53SUYmlWIhUXUi,https://api.spotify.com/v1/tracks/06XQvnJb53SUYmlWIhUXUi,https://api.spotify.com/v1/audio-analysis/06XQvnJb53SUYmlWIhUXUi,206000,4
10,群青,YOASOBI,157694,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk,0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,audio_features,1zd35Y44Blc1CwwVbW3Qnk,spotify:track:1zd35Y44Blc1CwwVbW3Qnk,https://api.spotify.com/v1/tracks/1zd35Y44Blc1CwwVbW3Qnk,https://api.spotify.com/v1/audio-analysis/1zd35Y44Blc1CwwVbW3Qnk,248027,4
11,ヨワネハキ,MAISONdes,155711,https://open.spotify.com/track/0FOVGBW0RpVRuDuUuN4ZVw,0.78,0.814,7,-3.617,1,0.0291,0.0432,8.28e-05,0.168,0.59,108.025,audio_features,0FOVGBW0RpVRuDuUuN4ZVw,spotify:track:0FOVGBW0RpVRuDuUuN4ZVw,https://api.spotify.com/v1/tracks/0FOVGBW0RpVRuDuUuN4ZVw,https://api.spotify.com/v1/audio-analysis/0FOVGBW0RpVRuDuUuN4ZVw,166967,4
12,勿忘,Awesome City Club,152140,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h,0.448,0.447,6,-7.161,0,0.045,0.234,0.0,0.382,0.299,78.861,audio_features,0XZyF9lv6diMt4bxThOL0h,spotify:track:0XZyF9lv6diMt4bxThOL0h,https://api.spotify.com/v1/tracks/0XZyF9lv6diMt4bxThOL0h,https://api.spotify.com/v1/audio-analysis/0XZyF9lv6diMt4bxThOL0h,251533,4
13,大正浪漫,YOASOBI,147447,https://open.spotify.com/track/3uw93CiI34uZlfk8ywep1e,0.657,0.926,1,-2.938,0,0.042,0.122,0.0,0.263,0.881,129.999,audio_features,3uw93CiI34uZlfk8ywep1e,spotify:track:3uw93CiI34uZlfk8ywep1e,https://api.spotify.com/v1/tracks/3uw93CiI34uZlfk8ywep1e,https://api.spotify.com/v1/audio-analysis/3uw93CiI34uZlfk8ywep1e,168462,4
14,YOKAZE,HENTAI SHINSHI CLUB,145752,https://open.spotify.com/track/6tkSMR8bEIfEcJn7ybJtSP,0.642,0.587,10,-5.53,1,0.0268,0.293,0.0,0.0784,0.361,89.96,audio_features,6tkSMR8bEIfEcJn7ybJtSP,spotify:track:6tkSMR8bEIfEcJn7ybJtSP,https://api.spotify.com/v1/tracks/6tkSMR8bEIfEcJn7ybJtSP,https://api.spotify.com/v1/audio-analysis/6tkSMR8bEIfEcJn7ybJtSP,269547,4
15,踊,Ado,139651,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l,0.707,0.965,1,-0.736,1,0.105,0.15,1.38e-06,0.726,0.777,128.003,audio_features,7z6qHGEKxRtwtYym2epV7l,spotify:track:7z6qHGEKxRtwtYym2epV7l,https://api.spotify.com/v1/tracks/7z6qHGEKxRtwtYym2epV7l,https://api.spotify.com/v1/audio-analysis/7z6qHGEKxRtwtYym2epV7l,208271,4
16,三原色,YOASOBI,139281,https://open.spotify.com/track/3FUCuf498nFHJXFYR1V9Bd,0.443,0.893,5,-3.496,0,0.154,0.128,0.0,0.328,0.826,127.999,audio_features,3FUCuf498nFHJXFYR1V9Bd,spotify:track:3FUCuf498nFHJXFYR1V9Bd,https://api.spotify.com/v1/tracks/3FUCuf498nFHJXFYR1V9Bd,https://api.spotify.com/v1/audio-analysis/3FUCuf498nFHJXFYR1V9Bd,224067,4
17,CITRUS,Da-iCE,137995,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR,0.549,0.861,1,-2.526,1,0.0459,0.22,0.0,0.361,0.739,82.042,audio_features,2IL2asrtx7XM1y8fu2RMnR,spotify:track:2IL2asrtx7XM1y8fu2RMnR,https://api.spotify.com/v1/tracks/2IL2asrtx7XM1y8fu2RMnR,https://api.spotify.com/v1/audio-analysis/2IL2asrtx7XM1y8fu2RMnR,248653,4
18,My Universe,Coldplay,137216,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM,0.577,0.684,9,-6.6,1,0.0404,0.0117,0.0,0.145,0.424,104.998,audio_features,3FeVmId7tL5YN8B7R3imoM,spotify:track:3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/tracks/3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/audio-analysis/3FeVmId7tL5YN8B7R3imoM,227604,4
19,花占い,Vaundy,127138,https://open.spotify.com/track/4X34YVOtNvldHeEt6aLYDW,0.662,0.789,7,-7.634,0,0.0305,0.0141,0.0,0.317,0.881,135.01,audio_features,4X34YVOtNvldHeEt6aLYDW,spotify:track:4X34YVOtNvldHeEt6aLYDW,https://api.spotify.com/v1/tracks/4X34YVOtNvldHeEt6aLYDW,https://api.spotify.com/v1/audio-analysis/4X34YVOtNvldHeEt6aLYDW,207556,4
20,シャッター,優里,126866,https://open.spotify.com/track/6VwpOZpqx8IqoF201VGAp8,0.606,0.525,5,-7.432,1,0.0356,0.511,0.0,0.33,0.665,74.979,audio_features,6VwpOZpqx8IqoF201VGAp8,spotify:track:6VwpOZpqx8IqoF201VGAp8,https://api.spotify.com/v1/tracks/6VwpOZpqx8IqoF201VGAp8,https://api.spotify.com/v1/audio-analysis/6VwpOZpqx8IqoF201VGAp8,247333,4
21,"Stand by me, Stand by you.",HIRAIDAI,125018,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh,0.66,0.576,3,-5.627,1,0.0363,0.0879,0.0,0.0599,0.561,80.978,audio_features,7DyS11kB1YNrfDzQqtjmTh,spotify:track:7DyS11kB1YNrfDzQqtjmTh,https://api.spotify.com/v1/tracks/7DyS11kB1YNrfDzQqtjmTh,https://api.spotify.com/v1/audio-analysis/7DyS11kB1YNrfDzQqtjmTh,193013,4
22,アポトーシス,Official HIGE DANdism,120710,https://open.spotify.com/track/222BlW44cS9nOM6C369IB2,0.463,0.691,8,-6.154,1,0.045,0.047,0.0,0.115,0.379,155.898,audio_features,222BlW44cS9nOM6C369IB2,spotify:track:222BlW44cS9nOM6C369IB2,https://api.spotify.com/v1/tracks/222BlW44cS9nOM6C369IB2,https://api.spotify.com/v1/audio-analysis/222BlW44cS9nOM6C369IB2,389707,4
23,もう少しだけ,YOASOBI,115014,https://open.spotify.com/track/2pXmohBUnD5Li93sgpbPSg,0.675,0.746,8,-5.531,1,0.0288,0.12,0.0,0.121,0.533,99.99,audio_features,2pXmohBUnD5Li93sgpbPSg,spotify:track:2pXmohBUnD5Li93sgpbPSg,https://api.spotify.com/v1/tracks/2pXmohBUnD5Li93sgpbPSg,https://api.spotify.com/v1/audio-analysis/2pXmohBUnD5Li93sgpbPSg,220201,4
24,Bluma to Lunch,BLOOM VASE,109773,https://open.spotify.com/track/3EYWY7XBj1BkCKX3R3hoZk,0.756,0.726,7,-5.388,1,0.0489,0.034,0.000455,0.119,0.792,123.98,audio_features,3EYWY7XBj1BkCKX3R3hoZk,spotify:track:3EYWY7XBj1BkCKX3R3hoZk,https://api.spotify.com/v1/tracks/3EYWY7XBj1BkCKX3R3hoZk,https://api.spotify.com/v1/audio-analysis/3EYWY7XBj1BkCKX3R3hoZk,159040,4
25,ラブレター,YOASOBI,109694,https://open.spotify.com/track/185Wm4Mx09dQG0fUktklDm,0.662,0.86,7,-3.534,1,0.0286,0.447,0.0,0.339,0.69,100.016,audio_features,185Wm4Mx09dQG0fUktklDm,spotify:track:185Wm4Mx09dQG0fUktklDm,https://api.spotify.com/v1/tracks/185Wm4Mx09dQG0fUktklDm,https://api.spotify.com/v1/audio-analysis/185Wm4Mx09dQG0fUktklDm,212401,4
26,U,millennium parade,108163,https://open.spotify.com/track/32H7fwKsaYtSl6qiXFI6I6,0.651,0.913,9,-5.667,0,0.0384,0.0437,0.00133,0.311,0.736,120.028,audio_features,32H7fwKsaYtSl6qiXFI6I6,spotify:track:32H7fwKsaYtSl6qiXFI6I6,https://api.spotify.com/v1/tracks/32H7fwKsaYtSl6qiXFI6I6,https://api.spotify.com/v1/audio-analysis/32H7fwKsaYtSl6qiXFI6I6,187267,4
27,Pretender,Official HIGE DANdism,107014,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU,0.538,0.869,8,-3.464,1,0.0275,0.047,0.0,0.14,0.369,91.972,audio_features,15HNdxGKNCIO9pgaY4n7FU,spotify:track:15HNdxGKNCIO9pgaY4n7FU,https://api.spotify.com/v1/tracks/15HNdxGKNCIO9pgaY4n7FU,https://api.spotify.com/v1/audio-analysis/15HNdxGKNCIO9pgaY4n7FU,326843,4
28,魔法の絨毯,Takaya Kawasaki,106686,https://open.spotify.com/track/3PK5ERLCyMuQ5Cb89GbZVL,0.622,0.309,10,-6.291,0,0.0481,0.776,0.0,0.122,0.571,73.897,audio_features,3PK5ERLCyMuQ5Cb89GbZVL,spotify:track:3PK5ERLCyMuQ5Cb89GbZVL,https://api.spotify.com/v1/tracks/3PK5ERLCyMuQ5Cb89GbZVL,https://api.spotify.com/v1/audio-analysis/3PK5ERLCyMuQ5Cb89GbZVL,208896,4
29,115万キロのフィルム,Official HIGE DANdism,104036,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7,0.516,0.791,3,-1.927,1,0.0318,0.00345,0.0,0.141,0.48,96.921,audio_features,278JqkBGkjDovOYAwE8TW7,spotify:track:278JqkBGkjDovOYAwE8TW7,https://api.spotify.com/v1/tracks/278JqkBGkjDovOYAwE8TW7,https://api.spotify.com/v1/audio-analysis/278JqkBGkjDovOYAwE8TW7,324633,4
30,怪盗,back number,103148,https://open.spotify.com/track/10Eyo4juZQFthKqlJgGMdp,0.636,0.847,7,-2.093,1,0.037,0.407,0.0,0.295,0.8,114.028,audio_features,10Eyo4juZQFthKqlJgGMdp,spotify:track:10Eyo4juZQFthKqlJgGMdp,https://api.spotify.com/v1/tracks/10Eyo4juZQFthKqlJgGMdp,https://api.spotify.com/v1/audio-analysis/10Eyo4juZQFthKqlJgGMdp,196226,4
31,点描の唄,Mrs. GREEN APPLE,102682,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV,0.502,0.632,0,-4.612,1,0.0273,0.447,0.0,0.103,0.308,152.014,audio_features,1sIIlVrnPhrvmTrHtzM7tV,spotify:track:1sIIlVrnPhrvmTrHtzM7tV,https://api.spotify.com/v1/tracks/1sIIlVrnPhrvmTrHtzM7tV,https://api.spotify.com/v1/audio-analysis/1sIIlVrnPhrvmTrHtzM7tV,307067,4
32,napori,Vaundy,102648,https://open.spotify.com/track/5Ym4egUmT9wHEvZM2anGG8,0.88,0.356,11,-7.802,1,0.297,0.417,0.0,0.0997,0.468,129.822,audio_features,5Ym4egUmT9wHEvZM2anGG8,spotify:track:5Ym4egUmT9wHEvZM2anGG8,https://api.spotify.com/v1/tracks/5Ym4egUmT9wHEvZM2anGG8,https://api.spotify.com/v1/audio-analysis/5Ym4egUmT9wHEvZM2anGG8,203787,4
33,ハルジオン,YOASOBI,101554,https://open.spotify.com/track/08YwAPnX8sygJUXG9rvhDv,0.687,0.873,8,-3.852,1,0.0335,0.0545,0.0,0.318,0.884,130.024,audio_features,08YwAPnX8sygJUXG9rvhDv,spotify:track:08YwAPnX8sygJUXG9rvhDv,https://api.spotify.com/v1/tracks/08YwAPnX8sygJUXG9rvhDv,https://api.spotify.com/v1/audio-analysis/08YwAPnX8sygJUXG9rvhDv,198600,4
34,炎,LiSA,101427,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn,0.477,0.685,2,-4.554,1,0.0325,0.105,0.0,0.277,0.308,152.04,audio_features,0cSkn2l67csUljEy0EEBPn,spotify:track:0cSkn2l67csUljEy0EEBPn,https://api.spotify.com/v1/tracks/0cSkn2l67csUljEy0EEBPn,https://api.spotify.com/v1/audio-analysis/0cSkn2l67csUljEy0EEBPn,275000,4
35,猫,DISH//,101114,https://open.spotify.com/track/6sIx7Cn37DGEhjy9hBP8Gx,0.506,0.769,3,-5.326,1,0.0363,0.113,0.0,0.0828,0.536,154.044,audio_features,6sIx7Cn37DGEhjy9hBP8Gx,spotify:track:6sIx7Cn37DGEhjy9hBP8Gx,https://api.spotify.com/v1/tracks/6sIx7Cn37DGEhjy9hBP8Gx,https://api.spotify.com/v1/audio-analysis/6sIx7Cn37DGEhjy9hBP8Gx,276040,4
36,虹,Masaki Suda,100824,https://open.spotify.com/track/7AIj86wFWqm7X1TZ2hzHwS,0.548,0.6,5,-5.049,1,0.0297,0.071,0.0,0.192,0.296,143.961,audio_features,7AIj86wFWqm7X1TZ2hzHwS,spotify:track:7AIj86wFWqm7X1TZ2hzHwS,https://api.spotify.com/v1/tracks/7AIj86wFWqm7X1TZ2hzHwS,https://api.spotify.com/v1/audio-analysis/7AIj86wFWqm7X1TZ2hzHwS,258733,4
37,アンコール,YOASOBI,100539,https://open.spotify.com/track/465JzFiajJO59sUrDFsxdC,0.682,0.669,2,-4.741,1,0.0275,0.283,1e-06,0.145,0.831,81.999,audio_features,465JzFiajJO59sUrDFsxdC,spotify:track:465JzFiajJO59sUrDFsxdC,https://api.spotify.com/v1/tracks/465JzFiajJO59sUrDFsxdC,https://api.spotify.com/v1/audio-analysis/465JzFiajJO59sUrDFsxdC,271440,4
38,うっせぇわ,Ado,100478,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n,0.525,0.978,11,-1.072,0,0.0815,0.00485,0.0,0.06,0.577,178.069,audio_features,6EzZn96uOc9JsVGNRpx06n,spotify:track:6EzZn96uOc9JsVGNRpx06n,https://api.spotify.com/v1/tracks/6EzZn96uOc9JsVGNRpx06n,https://api.spotify.com/v1/audio-analysis/6EzZn96uOc9JsVGNRpx06n,204920,4
39,I LOVE...,Official HIGE DANdism,100286,https://open.spotify.com/track/5wWLNNwMAehpj83FU4Lz0m,0.546,0.663,9,-6.071,1,0.0536,0.00938,0.0,0.178,0.407,171.698,audio_features,5wWLNNwMAehpj83FU4Lz0m,spotify:track:5wWLNNwMAehpj83FU4Lz0m,https://api.spotify.com/v1/tracks/5wWLNNwMAehpj83FU4Lz0m,https://api.spotify.com/v1/audio-analysis/5wWLNNwMAehpj83FU4Lz0m,282680,4
40,Film out,BTS,98544,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt,0.499,0.709,10,-6.404,1,0.134,0.296,0.0,0.331,0.314,164.032,audio_features,3UHPGOkUcE4hE7sqBF4Snt,spotify:track:3UHPGOkUcE4hE7sqBF4Snt,https://api.spotify.com/v1/tracks/3UHPGOkUcE4hE7sqBF4Snt,https://api.spotify.com/v1/audio-analysis/3UHPGOkUcE4hE7sqBF4Snt,214621,4
41,あいつら全員同窓会,ZUTOMAYO,98506,https://open.spotify.com/track/2VIK6jaaKghS4QPHr6sAkv,0.724,0.913,2,-2.836,0,0.118,0.453,0.0,0.052,0.913,130.968,audio_features,2VIK6jaaKghS4QPHr6sAkv,spotify:track:2VIK6jaaKghS4QPHr6sAkv,https://api.spotify.com/v1/tracks/2VIK6jaaKghS4QPHr6sAkv,https://api.spotify.com/v1/audio-analysis/2VIK6jaaKghS4QPHr6sAkv,254507,4
42,かくれんぼ,優里,97422,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ,0.671,0.505,9,-7.575,1,0.0629,0.417,0.0,0.124,0.311,156.019,audio_features,0JTjZnuciQH4M3620aMDtZ,spotify:track:0JTjZnuciQH4M3620aMDtZ,https://api.spotify.com/v1/tracks/0JTjZnuciQH4M3620aMDtZ,https://api.spotify.com/v1/audio-analysis/0JTjZnuciQH4M3620aMDtZ,271093,4
43,ハルカ,YOASOBI,96253,https://open.spotify.com/track/5D9MPWdY2hjSeTIGE5n5kv,0.712,0.817,1,-5.123,1,0.0279,0.0717,7.21e-06,0.146,0.679,100.016,audio_features,5D9MPWdY2hjSeTIGE5n5kv,spotify:track:5D9MPWdY2hjSeTIGE5n5kv,https://api.spotify.com/v1/tracks/5D9MPWdY2hjSeTIGE5n5kv,https://api.spotify.com/v1/audio-analysis/5D9MPWdY2hjSeTIGE5n5kv,243613,4
44,春を告げる,yama,96196,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD,0.548,0.871,11,-5.377,1,0.123,0.0397,0.0,0.357,0.487,120.009,audio_features,2Gmyw5Vg2X5YW2lM3OC7nD,spotify:track:2Gmyw5Vg2X5YW2lM3OC7nD,https://api.spotify.com/v1/tracks/2Gmyw5Vg2X5YW2lM3OC7nD,https://api.spotify.com/v1/audio-analysis/2Gmyw5Vg2X5YW2lM3OC7nD,196497,4
45,裸の心,Aimyon,95273,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ,0.559,0.448,8,-4.11,1,0.0275,0.537,1.85e-05,0.0915,0.354,148.02,audio_features,4Jv7U0JJpbQnOrjtDwDZTZ,spotify:track:4Jv7U0JJpbQnOrjtDwDZTZ,https://api.spotify.com/v1/tracks/4Jv7U0JJpbQnOrjtDwDZTZ,https://api.spotify.com/v1/audio-analysis/4Jv7U0JJpbQnOrjtDwDZTZ,296653,4
46,ギラギラ,Ado,94565,https://open.spotify.com/track/7D7GCO3CtDT1WDcj2W5VDV,0.651,0.861,2,-4.128,1,0.0568,0.052,0.0,0.0878,0.731,96.014,audio_features,7D7GCO3CtDT1WDcj2W5VDV,spotify:track:7D7GCO3CtDT1WDcj2W5VDV,https://api.spotify.com/v1/tracks/7D7GCO3CtDT1WDcj2W5VDV,https://api.spotify.com/v1/audio-analysis/7D7GCO3CtDT1WDcj2W5VDV,276213,4
47,不可幸力,Vaundy,94534,https://open.spotify.com/track/18nkY3pJTub8WwEGiQAGh4,0.69,0.815,11,-5.227,0,0.0426,0.0157,2.85e-06,0.0636,0.613,94.032,audio_features,18nkY3pJTub8WwEGiQAGh4,spotify:track:18nkY3pJTub8WwEGiQAGh4,https://api.spotify.com/v1/tracks/18nkY3pJTub8WwEGiQAGh4,https://api.spotify.com/v1/audio-analysis/18nkY3pJTub8WwEGiQAGh4,200243,4
48,感電,Kenshi Yonezu,93809,https://open.spotify.com/track/6H0PLsSYMzDOqhLgyOlzIj,0.633,0.723,8,-5.733,0,0.143,0.107,0.0,0.0818,0.688,103.101,audio_features,6H0PLsSYMzDOqhLgyOlzIj,spotify:track:6H0PLsSYMzDOqhLgyOlzIj,https://api.spotify.com/v1/tracks/6H0PLsSYMzDOqhLgyOlzIj,https://api.spotify.com/v1/audio-analysis/6H0PLsSYMzDOqhLgyOlzIj,264533,4
